Official tag,31/10/2018,02/04/2019,12/04/2019,28/04/2019,30/04/2019,01/05/2019,07/05/2019,10/05/2019,18/05/2019,28/05/2019,30/05/2019,06/06/2019,17/06/2019,26/06/2019,09/07/2019,07/09/2019,08/09/2019,13/09/2019,16/09/2019,25/09/2019,04/11/2019,05/11/2019,06/11/2019,15/01/2020,11/04/2020,15/04/2020,26/05/2020,30/05/2020,19/06/2020,06/07/2020,23/07/2020,30/07/2020,06/08/2020,19/08/2020,24/08/2020,08/09/2020,08/10/2020,09/10/2020,29/10/2020,03/11/2020,09/11/2020,08/12/2020,21/12/2020,21/01/2021,22/01/2021,13/04/2021,20/04/2021,21/04/2021,26/04/2021,27/04/2021,06/05/2021,14/05/2021,02/06/2021,03/06/2021,07/06/2021,18/06/2021,21/06/2021,01/07/2021,22/07/2021,09/08/2021,19/08/2021,31/08/2021,01/09/2021,27/09/2021,28/09/2021,04/10/2021,12/10/2021,25/10/2021,26/10/2021,08/11/2021,10/11/2021,12/11/2021,15/11/2021,16/11/2021,05/01/2022,25/01/2022
UK 362735 602004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,NA,NA,NA,NW013,NA,NA,Blue Cattle Shed: Returning Cattle,NA,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,NA,NA,NA,NW013,NA,NA,Blue Cattle Shed: Returning Cattle,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW011,8,NA,NW013,NA,NA,NW012,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW045,NA,NW046,NW006,NA,NA,NW009,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,Sold finished,NA,NA,NA,NA
UK 362735 602088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW006,NA,NW046,NW006,NA,NW009,NA,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,NA,NA,NA,Sold finished,NA
UK 362735 602095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW006,NA,NW046,NW006,NA,NW009,NA,NW006,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW045,NA,NW046,NW006,NA,NA,NW009,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,Sold finished,NA,NA,NA,NA
UK 362735 602130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW011,8,NA,NW013,NA,NA,NW012,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW011,8,NA,NW013,NA,NA,NW012,NW013,NA,NA,NA,NA,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA
UK 362735 602144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW045,NA,NW046,NW006,NA,NA,NW009,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,Sold finished,NA,NA,NA,NA
UK 362735 602151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW010,8,NA,NW013,NA,NW012,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 602158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW010,8,NA,NW013,NA,NW012,NA,NW013,NA,NA,NA,NA,NA,NW010,NA,NW011,NA,NA,Off platform,Sold finished,NA,NA
UK 362735 602165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW006,NA,NW046,NW006,NA,NW009,NA,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,Sold finished,NA,NA,NA,NA
UK 362735 602179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW011,8,NA,NW013,NA,NA,NW012,NW013,NA,NA,NA,NA,NA,NW010,NA,NW011,NA,NA,Off platform,Sold finished,NA,NA
UK 362735 602186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701760,Blue Cattle Shed: Young Cattle,NW010,Blue Cattle Shed: Young Cattle,NA,NA,NW010,NW011,NA,NA,NA,NA,NA,NA,NA,NW013,NA,NW010,NW011,NW012,NW013,Blue Cattle Shed: Returning Cattle,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701858,Green Cattle Shed: Young Cattle,NW046,NA,NA,NA,NA,NW045,NA,NW046,NW045,NW046,NW045,NW009,NW006,NA,NW046,NA,NW006,NA,NA,Green Cattle Shed: Returning Cattle,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,NA,NA,NA,NW013,NA,NA,Blue Cattle Shed: Returning Cattle,NA,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NW013,NW011,NW013,NA,NW010,NWT801,8,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 701956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NW006,NA,NA,NA,NA,NW046,NA,NA,NWT502,NA,NW045,5,NA,NW006,NA,Green Cattle Shed: Returning Cattle,NA,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NW006,NA,NA,NA,NA,NW046,NA,NA,NWT502,NA,NW045,5,NA,NW006,NA,Green Cattle Shed: Returning Cattle,NA,NA,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW010,8,NA,NW013,NA,NW012,NA,NW013,NA,NA,NA,NA,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA
UK 362735 702159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW011,8,NA,NW013,NA,NA,NW012,NW013,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NA,NW010,NA,NA,NW011,8,NA,NA,NA,NW010,8,NA,NW013,NA,NW012,NA,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UK 362735 702187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW006,NA,NW046,NW006,NA,NW009,NA,NW006,NA,NA,NA,NW045,NW046,NW006,NA,NA,Green Cattle Shed: Returning Cattle,NA,NA,NA,NA,Sold finished
UK 362735 702194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Cattle Shed: Young Cattle,NA,NA,NA,NA,NA,NA,NW046,NA,NW045,NA,NA,NWT503,5,NW045,5,NW045,NA,NW046,NW006,NA,NA,NW009,NW006,NA,NA,NA,NW045,NW046,Off platform,Sold finished,NA,NA,NA,NA,NA,NA,NA
