Official tag,Category,Date sold,Sold to,Lot no,Final Live Weight Date,Final Live Wt kg,Cold Carcase Wt kg,Conf,Fat,Dead Wt Pence/kg
UK 362735 602186,Cattle,26/04/2021,Abattoir,3111,26/04/2021,620,323.6,R,4L,400
UK 362735 102041,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,578,295.6,O+,2,354
UK 362735 201965,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,592,296.3,O+,4L,364
UK 362735 302036,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,664,350.4,R,3,374
UK 362735 402023,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,628,319.2,R,3,374
UK 362735 501989,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,594,297.2,O+,4L,364
UK 362735 702033,Cattle,22/01/2021,Abbatoir,NA,21/01/2021,608,334.8,R,3,374
UK 362735 101950,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,576,279.5,O+,4H,359
UK 362735 201944,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,640,332.5,R,2,374
UK 362735 201986,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,588,305.6,R,4L,374
UK 362735 202007,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,652,322.8,O+,3,364
UK 362735 202035,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,626,337.2,R,3,374
UK 362735 301987,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,592,292.6,O+,2,354
UK 362735 301994,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,554,283,O+,4L,364
UK 362735 302008,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,662,318,O+,3,364
UK 362735 401995,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,702,360,O+,3,364
UK 362735 601955,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,656,349.9,R,3,374
UK 362735 602004,Cattle,21/01/2021,Abbatoir,NA,21/01/2021,676,349.6,O+,3,364
UK 362735 101964,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,556,274,R,4L,360
UK 362735 201979,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,556,274.8,O+,4L,350
UK 362735 202000,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,580,285,O+,4H,345
UK 362735 202042,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,642,327.9,R,4L,360
UK 362735 301931,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,596,288,O+,4H,345
UK 362735 302043,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,592,300.7,O+,4L,350
UK 362735 302050,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,626,307.2,R,4L,360
UK 362735 401939,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,576,298.3,R,4L,360
UK 362735 501905,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,654,343.6,R,3,360
UK 362735 601969,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,654,324.6,R,3,360
UK 362735 701928,Cattle,21/12/2020,Abbatoir,NA,21/12/2020,552,274.4,O+,4H,345
UK 362735 101922,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,656,326.9,R,3,360
UK 362735 102020,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,610,303.2,O+,4L,350
UK 362735 202014,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,694,360.2,R,2,360
UK 362735 301952,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,656,322.4,O+,2,340
UK 362735 301973,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,586,324.4,R,3,360
UK 362735 401918,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,608,323.2,R,3,360
UK 362735 601976,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,660,330.8,R,4L,360
UK 362735 701956,Cattle,08/12/2020,Abbatoir,NA,08/12/2020,594,303.3,R,3,360
UK 362735 201916,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,654,325,R,3,364
UK 362735 201951,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,616,329.8,U-,3,372
UK 362735 301945,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,652,331.2,O+,4L,354
UK 362735 302022,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,640,322.6,R,3,364
UK 362735 401925,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,556,259,O+,4H,346
UK 362735 401953,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,682,340,R,3,364
UK 362735 401967,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,638,304,O+,4L,354
UK 362735 401974,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,594,278.8,O+,4L,354
UK 362735 501919,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,684,334.6,R,3,364
UK 362735 501933,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,616,305.6,O+,4L,354
UK 362735 501961,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,648,311.6,O+,4H,349
UK 362735 501996,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,666,322.2,R,3,364
UK 362735 601997,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,648,320.8,O+,3,354
UK 362735 602018,Cattle,09/11/2020,Abbatoir,NA,09/11/2020,648,307.7,R,4L,364
UK 362735 101985,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,600,315.4,O+,3,360
UK 362735 201958,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,522,261.7,O+,4L,355
UK 362735 301924,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,660,343,R,3,370
UK 362735 401904,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,628,330.6,O+,4L,360
UK 362735 501975,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,614,310.6,O+,3,360
UK 362735 601934,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,620,321.6,R,3,370
UK 362735 701942,Cattle,19/08/2020,Abbatoir,NA,19/08/2020,528,268.3,O+,4H,360
UK 362735 101992,Cattle,19/06/2020,Abbatoir,NA,19/06/2020,544,268.5,O+,4L,344
UK 362735 201909,Cattle,19/06/2020,Abbatoir,NA,19/06/2020,574,296.8,R,2,349
UK 362735 501954,Cattle,19/06/2020,Abbatoir,NA,19/06/2020,516,268.9,O+,4L,344
UK 362735 201874,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,604,304,O+,4H,310
UK 362735 401827,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,650,325.6,O+,3,315
UK 362735 401890,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,686,361.1,O+,4L,315
UK 362735 601773,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,618,325,O+,3,315
UK 362735 601801,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,620,315.4,O+,3,315
UK 362735 601878,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,596,314,O+,4L,315
UK 362735 601892,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,690,349.4,R,3,325
UK 362735 701760,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,782,387.3,R,3,325
UK 362735 701858,Cattle,15/01/2020,Dawn Meats,NA,15/01/2020,652,335.9,O+,4L,315
