Official tag,Category,Date sold,Sold to,Lot no,Final Live Weight Date,Final Live Wt kg,Cold Carcase Wt kg,Conf,Fat,Dead Wt Pence/kg
UK 362735 202098,Cattle,25/01/2022,Abattoir,6406,25/01/2022,584,304.8,R,4L,403
UK 362735 202126,Cattle,25/01/2022,Abattoir,6404,25/01/2022,590,328.3,R,3,403
UK 362735 302064,Cattle,25/01/2022,Abattoir,6410,25/01/2022,538,280.8,O+,4L,393
UK 362735 302078,Cattle,25/01/2022,Abattoir,6411,25/01/2022,608,315.9,R,4L,403
UK 362735 302141,Cattle,25/01/2022,Abattoir,6409,25/01/2022,636,324.3,R,4L,403
UK 362735 302148,Cattle,25/01/2022,Abattoir,6408,25/01/2022,652,339.5,R,3,403
UK 362735 402093,Cattle,25/01/2022,Abattoir,6412,25/01/2022,628,314.2,R,3,403
UK 362735 402135,Cattle,25/01/2022,Abattoir,6407,25/01/2022,624,339.1,R,3,403
UK 362735 702187,Cattle,25/01/2022,Abattoir,6405,25/01/2022,616,317.3,R,3,403
UK 362735 102160,Cattle,05/01/2022,Abattoir,2028,05/01/2022,632,338.5,R,3,403
UK 362735 502157,Cattle,05/01/2022,Abattoir,2017,05/01/2022,686,350.6,O+,3,393
UK 362735 602088,Cattle,05/01/2022,Abattoir,2018,05/01/2022,620,325.4,O+,4L,393
UK 362735 102118,Cattle,16/11/2021,Abattoir,1260,16/11/2021,652,351.2,R,4L,412
UK 362735 102174,Cattle,16/11/2021,Abattoir,1267,16/11/2021,606,341.2,R,2,412
UK 362735 102188,Cattle,16/11/2021,Abattoir,1266,16/11/2021,640,336.9,R,3,412
UK 362735 202112,Cattle,16/11/2021,Abattoir,1262,16/11/2021,630,346.5,R,4L,412
UK 362735 302169,Cattle,16/11/2021,Abattoir,1270,16/11/2021,650,359.1,R,3,412
UK 362735 402177,Cattle,16/11/2021,Abattoir,1263,16/11/2021,620,321.4,O+,4L,402
UK 362735 402184,Cattle,16/11/2021,Abattoir,1264,16/11/2021,616,327.5,R,4L,412
UK 362735 602158,Cattle,16/11/2021,Abattoir,1261,16/11/2021,638,341.4,U-,3,420
UK 362735 602179,Cattle,16/11/2021,Abattoir,1269,16/11/2021,646,355.9,U-,2,412
UK 362735 202147,Cattle,12/11/2021,Abattoir,724,12/11/2021,622,323.6,O+,4L,400
UK 362735 302155,Cattle,12/11/2021,Abattoir,722,12/11/2021,580,303.4,O+,3,400
UK 362735 602081,Cattle,12/11/2021,Abattoir,726,12/11/2021,656,332.6,O+,2,390
UK 362735 602116,Cattle,12/11/2021,Abattoir,737,12/11/2021,666,319.3,O+,4L,400
UK 362735 602144,Cattle,12/11/2021,Abattoir,740,12/11/2021,656,345.6,R,2,410
UK 362735 602165,Cattle,12/11/2021,Abattoir,728,12/11/2021,622,308.7,R,3,410
UK 362735 202154,Cattle,26/10/2021,Abattoir,5881,26/10/2021,534,267.5,O+,4L,396
UK 362735 202175,Cattle,26/10/2021,Abattoir,5882,26/10/2021,638,327.3,O+,3,396
UK 362735 202182,Cattle,26/10/2021,Abattoir,5877,26/10/2021,566,294.6,O+,4L,396
UK 362735 302120,Cattle,26/10/2021,Abattoir,5874,26/10/2021,550,284.4,O+,4H,391
UK 362735 302162,Cattle,26/10/2021,Abattoir,5884,26/10/2021,556,284.4,O+,4H,391
UK 362735 302176,Cattle,26/10/2021,Abattoir,5883,26/10/2021,636,342.4,R,3,406
UK 362735 302190,Cattle,26/10/2021,Abattoir,5878,26/10/2021,552,284,O+,4L,396
UK 362735 502178,Cattle,26/10/2021,Abattoir,5876,26/10/2021,654,342.4,R,3,406
UK 362735 602137,Cattle,26/10/2021,Abattoir,5875,26/10/2021,550,288.5,O+,4H,391
UK 362735 702131,Cattle,26/10/2021,Abattoir,5879,26/10/2021,644,325.6,O+,3,396
UK 362735 702194,Cattle,26/10/2021,Abattoir,5880,26/10/2021,590,298.1,O+,3,396
UK 362735 102083,Cattle,28/09/2021,Abattoir,8739,28/09/2021,608,323.6,O+,4L,396
UK 362735 102139,Cattle,28/09/2021,Abattoir,8740,28/09/2021,560,292.4,O+,4L,396
UK 362735 202077,Cattle,28/09/2021,Abattoir,8742,28/09/2021,604,313.2,O+,3,396
UK 362735 302071,Cattle,28/09/2021,Abattoir,8741,28/09/2021,638,343.4,O+,3,396
UK 362735 502108,Cattle,28/09/2021,Abattoir,8744,28/09/2021,596,327.3,R,4L,406
UK 362735 502150,Cattle,28/09/2021,Abattoir,8738,28/09/2021,546,282,O+,4L,396
UK 362735 602095,Cattle,28/09/2021,Abattoir,8748,28/09/2021,632,331.4,O+,3,396
UK 362735 702159,Cattle,28/09/2021,Abattoir,8747,28/09/2021,634,334.6,R,3,406
UK 362735 102125,Cattle,01/09/2021,Abattoir,2622,01/09/2021,614,328.9,O+,3,396
UK 362735 202084,Cattle,01/09/2021,Abattoir,2615,01/09/2021,554,296.2,R,4H,401
UK 362735 302127,Cattle,01/09/2021,Abattoir,2621,01/09/2021,632,349.7,U-,3,414
UK 362735 302134,Cattle,01/09/2021,Abattoir,2619,01/09/2021,598,332.2,R,3,406
UK 362735 402086,Cattle,01/09/2021,Abattoir,2616,01/09/2021,636,361,R,2,406
UK 362735 502129,Cattle,01/09/2021,Abattoir,2618,01/09/2021,652,330,R,3,406
UK 362735 602074,Cattle,01/09/2021,Abattoir,2620,01/09/2021,624,327.2,R,2,406
UK 362735 602130,Cattle,01/09/2021,Abattoir,2623,01/09/2021,646,338.9,R,3,406
UK 362735 602151,Cattle,01/09/2021,Abattoir,2624,01/09/2021,606,309.1,O+,4L,396
UK 362735 702166,Cattle,01/09/2021,Abattoir,2617,01/09/2021,442,232.9,O+,2,356
UK 362735 102097,Cattle,22/07/2021,Abattoir,3954,22/07/2021,618,346.5,R,3,397
UK 362735 502094,Cattle,26/04/2021,Abattoir,3109,26/04/2021,534,280,O+,4L,390
UK 362735 602060,Cattle,26/04/2021,Abattoir,3105,26/04/2021,660,320.7,R,3,400
UK 362735 602186,Cattle,26/04/2021,Abattoir,3111,26/04/2021,620,323.6,R,4L,400
UK 362735 302295,Cattle,19/06/2023,Abattoir,1264,19/06/2023,626,343.6,R,3,474
UK 362735 302323,Cattle,23/05/2023,Abattoir,4010,23/05/2023,620,321.2,O+,4L,473
UK 362735 702292,Cattle,23/05/2023,Abattoir,4005,23/05/2023,650,339.5,O+,3,472
UK 362735 402310,Cattle,16/03/2023,Abattoir,7362,16/03/2023,610,321.3,R,3,482
UK 362735 602270,Cattle,16/03/2023,Abattoir,7364,16/03/2023,662,350,R,3,482
UK 362735 102251,Cattle,15/12/2022,Abattoir,4990,15/12/2022,580,314.4,O+,4H,425
UK 362735 102293,Cattle,15/12/2022,Abattoir,4985,15/12/2022,576,308.9,O+,4L,430
UK 362735 202203,Cattle,15/12/2022,Abattoir,4984,15/12/2022,594,314.2,O+,4H,425
UK 362735 302302,Cattle,15/12/2022,Abattoir,4991,15/12/2022,542,277.4,O+,4L,430
UK 362735 502255,Cattle,15/12/2022,Abattoir,4987,15/12/2022,584,331.1,R,4L,440
UK 362735 502304,Cattle,15/12/2022,Abattoir,4986,15/12/2022,518,257,O+,4L,415
UK 362735 702257,Cattle,15/12/2022,Abattoir,4993,15/12/2022,608,316.1,R,4L,440
UK 362735 102244,Cattle,11/11/2022,Abattoir,5479,11/11/2022,592,322.6,R,4L,442
UK 362735 102258,Cattle,11/11/2022,Abattoir,5477,11/11/2022,622,321.2,R,4L,442
UK 362735 202224,Cattle,11/11/2022,Abattoir,5489,11/11/2022,608,331,R,4L,442
UK 362735 302225,Cattle,11/11/2022,Abattoir,5481,11/11/2022,600,313.2,O+,3,432
UK 362735 302253,Cattle,11/11/2022,Abattoir,5491,11/11/2022,608,329.2,U-,4L,450
UK 362735 502318,Cattle,11/11/2022,Abattoir,5482,11/11/2022,550,295,R,4H,442
UK 362735 502332,Cattle,11/11/2022,Abattoir,5490,11/11/2022,578,320.3,R,2,442
UK 362735 602214,Cattle,11/11/2022,Abattoir,5478,11/11/2022,598,312.1,O+,3,432
UK 362735 602298,Cattle,11/11/2022,Abattoir,5476,11/11/2022,532,274.4,O+,4L,432
UK 362735 602326,Cattle,11/11/2022,Abattoir,5488,11/11/2022,546,292.4,R,3,442
UK 362735 702243,Cattle,11/11/2022,Abattoir,5480,11/11/2022,536,272.4,R,3,442
UK 362735 102216,Cattle,28/10/2022,Abattoir,1451,28/10/2022,560,297.9,O+,3,430
UK 362735 202294,Cattle,28/10/2022,Abattoir,1454,28/10/2022,578,316.9,R,3,440
UK 362735 302274,Cattle,28/10/2022,Abattoir,1449,28/10/2022,620,339.5,R,3,440
UK 362735 302316,Cattle,28/10/2022,Abattoir,1450,28/10/2022,594,318.7,R,3,440
UK 362735 402275,Cattle,28/10/2022,Abattoir,1452,28/10/2022,552,279.3,R,2,435
UK 362735 402282,Cattle,28/10/2022,Abattoir,1455,28/10/2022,570,321.2,R,3,440
UK 362735 502213,Cattle,28/10/2022,Abattoir,1446,28/10/2022,620,329.3,R,4L,440
UK 362735 602263,Cattle,28/10/2022,Abattoir,1447,28/10/2022,576,319.6,R,3,440
UK 362735 602284,Cattle,28/10/2022,Abattoir,1448,28/10/2022,646,351.6,R,4L,440
UK 362735 702278,Cattle,28/10/2022,Abattoir,1456,28/10/2022,584,301,O+,4L,430
UK 362735 702306,Cattle,28/10/2022,Abattoir,1453,28/10/2022,580,313.8,R,4L,440
UK 362735 102223,Cattle,21/10/2022,Abattoir,9482,21/10/2022,578,293,O+,4L,430
UK 362735 102237,Cattle,21/10/2022,Abattoir,9480,21/10/2022,626,330.4,R,4L,440
UK 362735 102307,Cattle,21/10/2022,Abattoir,9479,21/10/2022,632,344.2,R,3,440
UK 362735 202266,Cattle,21/10/2022,Abattoir,9477,21/10/2022,640,325.2,O+,4L,430
UK 362735 302309,Cattle,21/10/2022,Abattoir,9481,21/10/2022,628,332,R,3,440
UK 362735 402240,Cattle,21/10/2022,Abattoir,9484,21/10/2022,656,351.4,R,3,440
UK 362735 502283,Cattle,21/10/2022,Abattoir,9478,21/10/2022,632,325.6,R,4L,440
UK 362735 602235,Cattle,21/10/2022,Abattoir,9485,21/10/2022,622,347.1,U-,3,448
UK 362735 602256,Cattle,21/10/2022,Abattoir,9487,21/10/2022,654,326,O+,3,430
UK 362735 702215,Cattle,21/10/2022,Abattoir,9486,21/10/2022,588,304,O+,4L,430
UK 362735 102209,Cattle,25/08/2022,Abattoir,5082,25/08/2022,564,284.8,O+,3,420
UK 362735 102272,Cattle,25/08/2022,Abattoir,5088,25/08/2022,638,330.4,R,3,430
UK 362735 202238,Cattle,25/08/2022,Abattoir,5086,25/08/2022,590,308.7,R,4L,430
UK 362735 202273,Cattle,25/08/2022,Abattoir,5083,25/08/2022,590,312.4,U-,2,434
UK 362735 302232,Cattle,25/08/2022,Abattoir,5081,25/08/2022,562,300,O+,3,420
UK 362735 502227,Cattle,25/08/2022,Abattoir,5085,25/08/2022,542,279.9,O+,4L,420
UK 362735 502325,Cattle,25/08/2022,Abattoir,5087,25/08/2022,570,300.3,R,2,430
UK 362735 702264,Cattle,25/08/2022,Abattoir,5084,25/08/2022,588,294.2,O+,4L,420
UK 362735 102265,Cattle,11/08/2022,Abattoir,1928,11/08/2022,662,343.6,R,2,428
UK 362735 202245,Cattle,11/08/2022,Abattoir,1926,11/08/2022,628,312.8,R,3,428
UK 362735 302204,Cattle,11/08/2022,Abattoir,1927,11/08/2022,614,297.3,O+,4L,418
UK 362735 402226,Cattle,11/08/2022,Abattoir,1930,11/08/2022,636,334,R,3,428
UK 362735 402254,Cattle,11/08/2022,Abattoir,1929,11/08/2022,652,334.6,O+,3,418
