Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 601969,1969,Cattle,STX,M,28/02/2019,UK 303596 501955,UK 340721 601194,NA,Blue,2020,2020
UK 362735 101964,1964,Cattle,ST,F,27/02/2019,UK 706021 102928,UK 221185 101930,NA,Blue,2020,2020
UK 362735 201958,1958,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 341954 100946,NA,Blue,2020,2020
UK 362735 201965,1965,Cattle,ST,M,27/02/2019,UK 142911 303178,UK 283928 701142,NA,Green,2020,2020
UK 362735 401967,1967,Cattle,ST,M,27/02/2019,UK 706021 102928,UK 221185 302002,NA,Blue,2020,2020
UK 362735 501961,1961,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 366189 201726,NA,Green,2020,2020
UK 362735 701956,1956,Cattle,ST,F,25/02/2019,UK 706021 102928,UK 221185 601956,NA,Green,2020,2020
UK 362735 401953,1953,Cattle,ST,M,24/02/2019,UK 142911 303178,UK 280211 500496,NA,Green,2020,2020
UK 362735 501954,1954,Cattle,STX,F,24/02/2019,UK 303596 501955,UK 341095 501059,NA,Green,2020,2020
UK 362735 601955,1955,Cattle,ST,M,24/02/2019,UK 706021 102928,UK 283928 401188,UK 341095 501059,Green,2020,2020
UK 362735 101950,1950,Cattle,STX,F,23/02/2019,UK 303596 501955,UK 362735 301126,NA,Blue,2020,2020
UK 362735 201951,1951,Cattle,ST,M,23/02/2019,UK 706021 102928,UK 221185 301967,NA,Blue,2020,2020
UK 362735 301952,1952,Cattle,ST,M,23/02/2019,UK 142911 303178,UK 280211 700491,NA,Blue,2020,2020
UK 362735 201944,1944,Cattle,ST,M,21/02/2019,UK 142911 303178,UK 283928 101080,NA,Blue,2020,2020
UK 362735 301945,1945,Cattle,STX,M,21/02/2019,UK 303596 501955,UK 385983 501291,NA,Green,2020,2020
UK 362735 401939,1939,Cattle,STX,F,21/02/2019,UK 303596 501955,UK 342625 101994,NA,Green,2020,2020
UK 362735 701942,1942,Cattle,STX,F,20/02/2019,UK 303596 501955,UK 344903 101937,NA,Blue,2020,2020
UK 362735 601934,1934,Cattle,ST,M,17/02/2019,UK 142911 303178,UK 280211 500461,NA,Green,2020,2020
UK 362735 301931,1931,Cattle,STX,F,16/02/2019,UK 303596 501955,UK 740732 201721,NA,Blue,2020,2020
UK 362735 501933,1933,Cattle,STX,M,16/02/2019,UK 303596 501955,UK 282700 503577,NA,Green,2020,2020
UK 362735 401925,1925,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 340721 201190,NA,Green,2020,2020
UK 362735 701928,1928,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 323621 201773,NA,Blue,2020,2020
UK 362735 301924,1924,Cattle,ST,M,14/02/2019,UK 142911 303178,UK 221217 101196,NA,Green,2020,2020
UK 362735 101922,1922,Cattle,ST,M,11/02/2019,UK 706021 102928,UK 221185 102063,NA,Blue,2020,2020
UK 362735 401918,1918,Cattle,ST,F,09/02/2019,UK 706021 102928,UK 221185 602033,NA,Blue,2020,2020
UK 362735 501919,1919,Cattle,ST,M,09/02/2019,UK 142911 303178,UK 280211 100478,NA,Green,2020,2020
UK 362735 201916,1916,Cattle,ST,F,07/02/2019,UK 706021 102928,UK 221185 601977,NA,Green,2020,2020
UK 362735 201909,1909,Cattle,ST,M,30/01/2019,UK 706021 102928,UK 280211 600504,NA,Green,2020,2020
UK 362735 501905,1905,Cattle,STX,M,20/01/2019,UK 303596 501955,UK 344680 103353,NA,Blue,2020,2020
UK 362735 401904,1904,Cattle,ST,M,13/01/2019,UK 142911 303178,UK 280211 500468,NA,Blue,2020,2020
UK 362735 301896,301896,Cattle,STX,M,13/05/2018,UK 380678 601707,UK 381916 400212,UK 381916 400212,Blue,2019,2019
UK 362735 601892,601892,Cattle,ST,M,01/05/2018,UK 706021 102928,UK 706021 402994,UK 706021 402994,Blue,2019,2019
UK 362735 401890,401890,Cattle,STX,M,30/04/2018,UK 380678 601707,UK 345188 301543,UK 345188 301543,Green,2019,2019
UK 362735 201888,201888,Cattle,STX,M,27/04/2018,UK 380678 601707,UK 282700 203560,UK 282700 203560,Green,2019,2019
UK 362735 101887,101887,Cattle,ST,M,26/04/2018,UK 706021 102928,UK 706021 103075,UK 706021 103075,Blue,2019,2019
UK 362735 701886,701886,Cattle,ST,M,24/04/2018,UK 706021 102928,UK 706021 403050,UK 706021 403050,Green,2019,2019
UK 362735 501884,501884,Cattle,STX,F,21/04/2018,UK 142911 303178,UK 160299 703371,UK 160299 703371,Green,2019,2019
UK 362735 601885,601885,Cattle,STX,F,21/04/2018,UK 380678 601707,UK 280211 300445,UK 280211 300445,Green,2019,2019
UK 362735 201881,201881,Cattle,STX,F,19/04/2018,UK 303596 501955,UK 340627 201352,UK 340627 201352,Green,2019,2019
UK 362735 601878,601878,Cattle,STX,F,17/04/2018,UK 380678 601707,UK 362735 101173,UK 362735 101173,Blue,2019,2019
UK 362735 401876,401876,Cattle,STX,M,15/04/2018,UK 380678 601707,UK 363394 600788,UK 363394 600788,Blue,2019,2019
UK 362735 201874,201874,Cattle,STX,F,11/04/2018,UK 303596 501955,UK 322301 100917,UK 322301 100917,Green,2019,2019
UK 362735 701872,701872,Cattle,ST,M,11/04/2018,UK 380678 601707,UK 283928 601085,UK 283928 601085,Blue,2019,2019
UK 362735 201860,201860,Cattle,STX,M,02/04/2018,UK 303596 501955,UK 740431 100971,UK 740431 100971,Green,2019,2019
UK 362735 301854,301854,Cattle,STX,M,30/03/2018,UK 142911 303178,UK 340627 701350,UK 340627 701350,Blue,2019,2019
UK 362735 501849,501849,Cattle,STX,F,30/03/2018,UK 303596 501955,UK 341304 302203,UK 341304 302203,Blue,2019,2019
UK 362735 101845,101845,Cattle,ST,M,26/03/2018,UK 702625 102905,UK 221217 501179,UK 221217 501179,Green,2019,2019
UK 362735 401841,401841,Cattle,STX,M,26/03/2018,UK 142911 303178,UK 340435 503120,UK 340435 503120,Green,2019,2019
UK 362735 701858,701858,Cattle,STX,M,24/03/2018,UK 142911 303178,UK 283104 705927,UK 283104 705927,Green,2019,2019
UK 362735 401834,401834,Cattle,STX,M,21/03/2018,UK 142911 303178,UK 340944 102797,UK 340944 102797,Green,2019,2019
UK 362735 201832,201832,Cattle,STX,F,20/03/2018,UK 142911 303178,UK 343494 603856,UK 343494 603856,Green,2019,2019
UK 362735 301833,301833,Cattle,STX,M,20/03/2018,UK 142911 303178,UK 361993 201363,UK 361993 201363,Blue,2019,2019
UK 362735 101831,101831,Cattle,STX,F,19/03/2018,UK 142911 303178,UK 340721 601194,UK 340721 601194,Blue,2019,2019
UK 362735 501828,501828,Cattle,STX,M,18/03/2018,UK 303596 501955,UK 344578 601383,UK 344578 601383,Blue,2019,2019
UK 362735 701830,701830,Cattle,ST,M,18/03/2018,UK 706021 102928,UK 706021 403008,UK 706021 403008,Green,2019,2019
UK 362735 101824,101824,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 366687 102308,UK 366687 102308,Green,2019,2019
UK 362735 201825,201825,Cattle,ST,M,17/03/2018,UK 380678 601707,UK 280211 300494,UK 280211 300494,Blue,2019,2019
UK 362735 301826,301826,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 345406 201418,UK 345406 201418,Green,2019,2019
UK 362735 401827,401827,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 345145 501060,UK 345145 501060,Green,2019,2019
UK 362735 501821,501821,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 344853 101116,UK 344853 101116,Blue,2019,2019
UK 362735 601822,601822,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 282700 503577,UK 282700 503577,Blue,2019,2019
UK 362735 201818,201818,Cattle,STX,M,16/03/2018,UK 142911 303178,UK 385983 501291,UK 385983 501291,Blue,2019,2019
UK 362735 601815,601815,Cattle,STX,F,15/03/2018,UK 303596 501955,UK 362735 701123,UK 362735 701123,Green,2019,2019
UK 362735 701816,701816,Cattle,STX,M,15/03/2018,UK 303596 501955,UK 161134 201494,UK 161134 201494,Blue,2019,2019
UK 362735 501814,501814,Cattle,STX,F,14/03/2018,UK 142911 303178,UK 366189 702074,UK 366189 702074,Green,2019,2019
UK 362735 301812,301812,Cattle,ST,M,12/03/2018,UK 702625 102905,UK 221217 601229,UK 221217 601229,Blue,2019,2019
UK 362735 101803,101803,Cattle,STX,M,10/03/2018,UK 303596 501955,UK 740431 600976,UK 740431 600976,Green,2019,2019
UK 362735 501807,501807,Cattle,STX,F,10/03/2018,UK 142911 303178,UK 740431 201014,UK 740431 201014,Blue,2019,2019
UK 362735 601808,601808,Cattle,STX,M,10/03/2018,UK 142911 303178,UK 366189 601716,UK 366189 601716,Blue,2019,2019
UK 362735 201804,201804,Cattle,ST,M,09/03/2018,UK 706021 102928,UK 283928 301180,UK 283928 301180,Green,2019,2019
UK 362735 501800,501800,Cattle,STX,F,08/03/2018,UK 303596 501955,UK 344903 101937,UK 344903 101937,Blue,2019,2019
UK 362735 601801,601801,Cattle,ST,M,08/03/2018,UK 706021 102928,UK 706021 603073,UK 706021 603073,Blue,2019,2019
UK 362735 101796,101796,Cattle,ST,M,06/03/2018,UK 380678 601707,UK 280211 400460,UK 280211 400460,Green,2019,2019
UK 362735 201797,201797,Cattle,STX,F,06/03/2018,UK 142911 303178,UK 363394 400786,UK 363394 400786,Blue,2019,2019
UK 362735 701795,701795,Cattle,STX,F,06/03/2018,UK 303596 501955,UK 341623 501576,UK 341623 501576,Blue,2019,2019
UK 362735 501793,501793,Cattle,ST,M,05/03/2018,UK 380678 601707,UK 283928 101080,UK 283928 101080,Green,2019,2019
UK 362735 101789,101789,Cattle,ST,M,02/03/2018,UK 380678 601707,UK 283928 201116,UK 283928 201116,Green,2019,2019
UK 362735 201783,201783,Cattle,STX,F,28/02/2018,UK 303596 501955,UK 344680 103388,UK 344680 103388,Green,2019,2019
UK 362735 301784,301784,Cattle,ST,M,27/02/2018,UK 142911 303178,UK 362735 301581,UK 362735 301581,Green,2019,2019
UK 362735 701781,701781,Cattle,STX,M,26/02/2018,UK 303596 501955,UK 345188 401397,UK 345188 401397,Blue,2019,2019
UK 362735 501779,501779,Cattle,STX,M,25/02/2018,UK 303596 501955,UK 340721 201190,UK 340721 201190,Green,2019,2019
UK 362735 601780,601780,Cattle,STX,F,25/02/2018,UK 303596 501955,UK 344461 101179,UK 344461 101179,Green,2019,2019
UK 362735 501772,501772,Cattle,ST,M,20/02/2018,UK 380678 601707,UK 280211 100478,UK 280211 100478,Blue,2019,2019
UK 362735 601773,601773,Cattle,ST,M,20/02/2018,UK 380678 601707,UK 280211 100478,UK 280211 100478,Blue,2019,2019
UK 362735 701767,701767,Cattle,STX,F,15/02/2018,UK 303596 501955,UK 343494 503603,UK 343494 503603,Blue,2019,2019
UK 362735 201762,201762,Cattle,ST,M,14/02/2018,UK 142911 303178,UK 362735 301560,UK 362735 301560,Blue,2019,2019
UK 362735 701760,701760,Cattle,ST,M,14/02/2018,UK 142911 303178,UK 283928 701198,UK 283928 701198,Blue,2019,2019
UK 362735 101754,101754,Cattle,STX,F,09/02/2018,UK 303596 501955,UK 366189 401889,UK 366189 401889,Blue,2019,2019
UK 362735 501751,501751,Cattle,ST,M,07/02/2018,UK 142911 303178,UK 283928 701142,UK 283928 701142,Green,2019,2019
UK 362735 701753,701753,Cattle,ST,M,07/02/2018,UK 380678 601707,UK 283928 101052,UK 283928 101052,Green,2019,2019
UK 362735 601745,601745,Cattle,STX,M,04/06/2017,UK 142911 303178,UK 344680 503371,UK 344680 503372,Green,2018,2018
UK 362735 301742,301742,Cattle,CHX,F,29/05/2017,UK 701354 700138,UK 381916 400212,UK 381916 400213,Blue,2018,2018
UK 362735 501716,501716,Cattle,STX,M,02/04/2017,UK 303596 501955,UK 366687 102308,UK 366687 102309,Green,2018,2018
UK 362735 601661,601661,Cattle,ST,F,02/03/2017,UK 380678 601707,UK 280211 500489,UK 280211 500489,Blue,2018,2018
UK 362735 701655,701655,Cattle,CHX,F,27/02/2017,UK 303596 501955,UK 324293 101345,UK 324293 101346,Blue,2018,2018
UK 362735 702194,2194,Cattle,ST,F,15/04/2020,UK 380678 601707,UK 706021 302937,NA,Green,2021,NA
UK 362735 302190,2190,Cattle,STX,F,02/04/2020,UK 303596 501955,UK 366189 201726,NA,Green,2021,NA
UK 362735 102188,2188,Cattle,ST,M,31/03/2020,UK 220207 601568,UK 362735 501870,NA,Blue,2021,NA
UK 362735 702187,2187,Cattle,ST,M,31/03/2020,UK 142911 303178,UK 283928 601183,NA,Green,2021,NA
UK 362735 602186,2186,Cattle,STX,M,30/03/2020,UK 380678 601707,UK 324412 501356,NA,Blue,2021,NA
UK 362735 202182,2182,Cattle,STX,F,29/03/2020,UK 380678 601707,UK 345188 401397,NA,Green,2021,NA
UK 362735 402184,2184,Cattle,ST,M,29/03/2020,UK 706021 102928,UK 221185 102063,NA,Blue,2021,NA
UK 362735 502178,2178,Cattle,ST,M,28/03/2020,UK 220207 601568,UK 362735 701893,NA,Green,2021,NA
UK 362735 602179,2179,Cattle,ST,M,28/03/2020,UK 706021 102928,UK 706021 603073,NA,Blue,2021,NA
UK 362735 402177,2177,Cattle,ST,M,27/03/2020,UK 220207 601568,UK 362735 701823,NA,Blue,2021,NA
UK 362735 202175,2175,Cattle,ST,M,26/03/2020,UK 142911 303178,UK 280211 700491,NA,Green,2021,NA
UK 362735 302176,2176,Cattle,ST,M,26/03/2020,UK 142911 303178,UK 362735 401603,NA,Blue,2021,NA
UK 362735 102174,2174,Cattle,ST,M,25/03/2020,UK 380678 601707,UK 706021 303007,NA,Blue,2021,NA
UK 362735 302169,2169,Cattle,ST,M,22/03/2020,UK 142911 303178,UK 283928 101213,NA,Blue,2021,NA
UK 362735 602165,2165,Cattle,ST,M,22/03/2020,UK 220207 601568,UK 362735 401792,NA,Green,2021,NA
UK 362735 702166,2166,Cattle,ST,F,22/03/2020,UK 706021 102928,UK 280211 500489,NA,Blue,2021,NA
UK 362735 102160,2160,Cattle,ST,M,19/03/2020,UK 706021 102928,UK 221185 701978,NA,Green,2021,NA
UK 362735 302162,2162,Cattle,STX,F,19/03/2020,UK 303596 501955,UK 366189 401889,NA,Green,2021,NA
UK 362735 702159,2159,Cattle,ST,M,19/03/2020,UK 142911 303178,UK 283928 301138,NA,Blue,2021,NA
UK 362735 502157,2157,Cattle,ST,M,18/03/2020,UK 220207 601568,UK 362735 701879,NA,Green,2021,NA
UK 362735 602158,2158,Cattle,ST,M,18/03/2020,UK 706021 102928,UK 221185 401968,NA,Blue,2021,NA
UK 362735 302155,2155,Cattle,ST,F,15/03/2020,UK 380678 601707,UK 221217 501179,NA,Green,2021,NA
UK 362735 202154,2154,Cattle,STX,F,14/03/2020,UK 303596 501955,UK 383869 100881,NA,Blue,2021,NA
UK 362735 502150,2150,Cattle,ST,F,13/03/2020,UK 220207 601568,UK 362735 501898,NA,Blue,2021,NA
UK 362735 602151,2151,Cattle,STX,M,13/03/2020,UK 303596 501955,UK 363394 600788,NA,Blue,2021,NA
UK 362735 302148,2148,Cattle,ST,M,11/03/2020,UK 706021 102928,UK 283928 401195,NA,Green,2021,NA
UK 362735 202147,2147,Cattle,STX,M,09/03/2020,UK 380678 601707,UK 340944 102797,NA,Green,2021,NA
UK 362735 102139,2139,Cattle,STX,F,07/03/2020,UK 380678 601707,UK 366189 702074,NA,Blue,2021,NA
UK 362735 302141,2141,Cattle,ST,M,07/03/2020,UK 220207 601568,UK 362735 601752,NA,Green,2021,NA
UK 362735 602144,2144,Cattle,ST,M,07/03/2020,UK 142911 303178,UK 280211 300501,NA,Green,2021,NA
UK 362735 602137,2137,Cattle,ST,F,06/03/2020,UK 380678 601707,UK 221217 501242,NA,Blue,2021,NA
UK 362735 402135,2135,Cattle,ST,M,05/03/2020,UK 380678 601707,UK 706021 402945,NA,Green,2021,NA
UK 362735 302127,2127,Cattle,ST,M,03/03/2020,UK 706021 102928,UK 283928 501210,NA,Blue,2021,NA
UK 362735 302134,2134,Cattle,ST,M,03/03/2020,UK 142911 303178,UK 706021 603045,NA,Green,2021,NA
UK 362735 502129,2129,Cattle,ST,M,03/03/2020,UK 142911 303178,UK 280211 600476,NA,Blue,2021,NA
UK 362735 602130,2130,Cattle,ST,M,03/03/2020,UK 706021 102928,UK 221185 102028,NA,Blue,2021,NA
UK 362735 702131,2131,Cattle,STX,M,03/03/2020,UK 706021 102928,UK 344680 103388,NA,Blue,2021,NA
UK 362735 102125,2125,Cattle,STX,M,02/03/2020,UK 142911 303178,UK 340762 401876,NA,Green,2021,NA
UK 362735 202126,2126,Cattle,STX,M,02/03/2020,UK 706021 102928,UK 324293 101345,NA,Green,2021,NA
UK 362735 102118,2118,Cattle,ST,M,29/02/2020,UK 380678 601707,UK 283928 601169,NA,Blue,2021,NA
UK 362735 302120,2120,Cattle,STX,F,29/02/2020,UK 303596 501955,UK 344680 103353,NA,Blue,2021,NA
UK 362735 602116,2116,Cattle,ST,M,29/02/2020,UK 142911 303178,UK 706021 603059,NA,Green,2021,NA
UK 362735 202112,2112,Cattle,ST,M,28/02/2020,UK 706021 102928,UK 221185 601956,NA,Blue,2021,NA
UK 362735 502108,2108,Cattle,ST,M,27/02/2020,UK 380678 601707,UK 706021 402938,NA,Blue,2021,NA
UK 362735 202098,2098,Cattle,STX,M,24/02/2020,UK 303596 501955,UK 323621 201773,NA,Green,2021,NA
UK 362735 502094,2094,Cattle,STX,F,23/02/2020,UK 303596 501955,UK 385983 501291,NA,Blue,2021,NA
UK 362735 602095,2095,Cattle,ST,M,23/02/2020,UK 380678 601707,UK 706021 702962,NA,Green,2021,NA
UK 362735 102097,2097,Cattle,ST,M,22/02/2020,UK 380678 601707,UK 221217 701153,NA,Blue,2021,NA
UK 362735 402093,2093,Cattle,ST,M,22/02/2020,UK 706021 102928,UK 362735 501723,NA,Green,2021,NA
UK 362735 402086,2086,Cattle,ST,M,21/02/2020,UK 706021 102928,UK 221185 501990,NA,Green,2021,NA
UK 362735 602088,2088,Cattle,ST,M,21/02/2020,UK 142911 303178,UK 283928 501042,NA,Green,2021,NA
UK 362735 102083,2083,Cattle,ST,F,20/02/2020,UK 142911 303178,UK 221217 401178,NA,Green,2021,NA
UK 362735 202084,2084,Cattle,ST,F,20/02/2020,UK 706021 102928,UK 221185 601977,NA,Blue,2021,NA
UK 362735 202077,2077,Cattle,ST,M,19/02/2020,UK 142911 303178,UK 280211 100478,NA,Blue,2021,NA
UK 362735 302078,2078,Cattle,ST,M,19/02/2020,UK 380678 601707,UK 362735 301560,NA,Green,2021,NA
UK 362735 602081,2081,Cattle,ST,M,19/02/2020,UK 142911 303178,UK 280211 500461,NA,Green,2021,NA
UK 362735 602074,2074,Cattle,ST,M,16/02/2020,UK 142911 303178,UK 280211 400460,NA,Blue,2021,NA
UK 362735 302071,2071,Cattle,ST,M,14/02/2020,UK 706021 102928,UK 221185 602026,NA,Green,2021,NA
UK 362735 302064,2064,Cattle,ST,F,26/01/2020,UK 220207 601568,UK 362735 501765,NA,Green,2021,NA
UK 362735 602060,2060,Cattle,ST,M,09/01/2020,UK 220207 601568,UK 362735 701844,NA,Blue,2021,NA
UK 362735 502332,2332,Cattle,ST,M,01/05/2021,UK 706021 102928,UK 221185 601956,NA,Green,2022,2022
UK 362735 702327,2327,Cattle,ST,M,14/04/2021,UK 706021 102928,UK 221217 601250,NA,Blue,2022,2022
UK 362735 602326,2326,Cattle,STX,F,13/04/2021,UK 142911 303178,UK 345188 301543,NA,Blue,2022,2022
UK 362735 502325,2325,Cattle,ST,F,10/04/2021,UK 706021 102928,UK 221217 301247,NA,Blue,2022,2022
UK 362735 302323,2323,Cattle,STX,F,05/04/2021,UK 142911 303178,UK 343494 603856,NA,Green,2022,2022
UK 362735 502318,2318,Cattle,ST,F,02/04/2021,UK 220207 601568,UK 283928 501210,NA,Green,2022,2022
UK 362735 302316,2316,Cattle,ST,M,31/03/2021,UK 706021 102928,UK 280211 700477,NA,Green,2022,2022
UK 362735 402310,2310,Cattle,ST,M,29/03/2021,UK 706021 102928,UK 221185 301967,NA,Green,2022,2022
UK 362735 502311,2311,Cattle,ST,M,29/03/2021,UK 220207 601568,UK 362735 101747,NA,Blue,2022,2022
UK 362735 302309,2309,Cattle,ST,M,28/03/2021,UK 142911 303178,UK 706021 402917,NA,Blue,2022,2022
UK 362735 102307,2307,Cattle,ST,M,27/03/2021,UK 706021 102928,UK 280211 700491,NA,Blue,2022,2022
UK 362735 702306,2306,Cattle,ST,F,27/03/2021,UK 142911 303178,UK 221185 302016,NA,Green,2022,2022
UK 362735 302302,2302,Cattle,ST,F,25/03/2021,UK 220207 601568,UK 362735 601829,NA,Blue,2022,2022
UK 362735 502304,2304,Cattle,ST,F,25/03/2021,UK 706021 102928,UK 221185 602026,NA,Blue,2022,2022
UK 362735 602298,2298,Cattle,ST,F,24/03/2021,UK 706021 102928,UK 280211 700456,NA,Blue,2022,2022
UK 362735 302295,2295,Cattle,ST,M,22/03/2021,UK 303605 401594,UK 362735 101978,NA,Green,2022,2022
UK 362735 202294,2294,Cattle,ST,F,20/03/2021,UK 706021 102928,UK 283928 301138,NA,Green,2022,2022
UK 362735 702292,2292,Cattle,STX,M,20/03/2021,UK 142911 303178,UK 340944 102797,NA,Green,2022,2022
UK 362735 102293,2293,Cattle,ST,F,19/03/2021,UK 706021 102928,UK 221185 102028,NA,Green,2022,2022
UK 362735 402282,2282,Cattle,ST,F,15/03/2021,UK 142911 303178,UK 706021 403050,NA,Green,2022,2022
UK 362735 502283,2283,Cattle,STX,F,15/03/2021,UK 142911 303178,UK 324412 501356,NA,Blue,2022,2022
UK 362735 602284,2284,Cattle,ST,M,15/03/2021,UK 220207 601568,UK 362735 301847,NA,Green,2022,2022
UK 362735 102272,2272,Cattle,ST,M,13/03/2021,UK 303605 401594,UK 362735 201930,NA,Blue,2022,2022
UK 362735 202273,2273,Cattle,ST,F,13/03/2021,UK 706021 102928,UK 221185 701999,NA,Green,2022,2022
UK 362735 302274,2274,Cattle,ST,M,13/03/2021,UK 142911 303178,UK 280211 500496,NA,Green,2022,2022
UK 362735 402275,2275,Cattle,ST,F,13/03/2021,UK 706021 102928,UK 280211 600476,NA,Green,2022,2022
UK 362735 702278,2278,Cattle,STX,F,13/03/2021,UK 142911 303178,UK 345188 401397,NA,Green,2022,2022
UK 362735 602270,2270,Cattle,ST,M,12/03/2021,UK 303605 401594,UK 362735 101929,NA,Green,2022,2022
UK 362735 102265,2265,Cattle,ST,M,11/03/2021,UK 706021 102928,UK 221217 301072,NA,Blue,2022,2022
UK 362735 202266,2266,Cattle,STX,M,11/03/2021,UK 142911 303178,UK 362735 301126,NA,Blue,2022,2022
UK 362735 502276,2276,Cattle,ST,M,11/03/2021,UK 303605 401594,UK 362735 301966,NA,Blue,2022,2022
UK 362735 702264,2264,Cattle,ST,F,11/03/2021,UK 142911 303178,UK 280211 300501,NA,Blue,2022,2022
UK 362735 602263,2263,Cattle,ST,F,10/03/2021,UK 380678 601707,UK 706021 603045,NA,Green,2022,2022
UK 362735 102258,2258,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 362735 701879,NA,Green,2022,2022
UK 362735 502255,2255,Cattle,ST,M,09/03/2021,UK 380678 601707,UK 706021 603010,NA,Green,2022,2022
UK 362735 602256,2256,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 362735 701893,NA,Blue,2022,2022
UK 362735 702257,2257,Cattle,ST,M,09/03/2021,UK 220207 601568,UK 283928 701156,NA,Blue,2022,2022
UK 362735 302253,2253,Cattle,ST,M,08/03/2021,UK 220207 601568,UK 283928 601169,NA,Green,2022,2022
UK 362735 402254,2254,Cattle,STX,M,08/03/2021,UK 142911 303178,UK 363394 600788,NA,Blue,2022,2022
UK 362735 102251,2251,Cattle,ST,M,07/03/2021,UK 303605 401594,UK 362735 502045,NA,Green,2022,2022
UK 362735 102244,2244,Cattle,ST,M,06/03/2021,UK 303605 401594,UK 362735 702019,NA,Green,2022,2022
