Official tag,Management tag,Category,Breed,Sex,Date of birth,Sire official tag,Birth Dam official tag,Rearing Dam official tag,Farmlet,Grazing year,End grazing year
UK 362735 601969,1969,Cattle,STX,M,28/02/2019,UK 303596 501955,UK 340721 601194,NA,Blue,2020,2020
UK 362735 101964,1964,Cattle,ST,F,27/02/2019,UK 706021 102928,UK 221185 101930,NA,Blue,2020,2020
UK 362735 201958,1958,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 341954 100946,NA,Blue,2020,2020
UK 362735 201965,1965,Cattle,ST,M,27/02/2019,UK 142911 303178,UK 283928 701142,NA,Green,2020,2020
UK 362735 401967,1967,Cattle,ST,M,27/02/2019,UK 706021 102928,UK 221185 302002,NA,Blue,2020,2020
UK 362735 501961,1961,Cattle,STX,F,27/02/2019,UK 303596 501955,UK 366189 201726,NA,Green,2020,2020
UK 362735 701956,1956,Cattle,ST,F,25/02/2019,UK 706021 102928,UK 221185 601956,NA,Green,2020,2020
UK 362735 401953,1953,Cattle,ST,M,24/02/2019,UK 142911 303178,UK 280211 500496,NA,Green,2020,2020
UK 362735 501954,1954,Cattle,STX,F,24/02/2019,UK 303596 501955,UK 341095 501059,NA,Green,2020,2020
UK 362735 601955,1955,Cattle,ST,M,24/02/2019,UK 706021 102928,UK 283928 401188,UK 341095 501059,Green,2020,2020
UK 362735 101950,1950,Cattle,STX,F,23/02/2019,UK 303596 501955,UK 362735 301126,NA,Blue,2020,2020
UK 362735 201951,1951,Cattle,ST,M,23/02/2019,UK 706021 102928,UK 221185 301967,NA,Blue,2020,2020
UK 362735 301952,1952,Cattle,ST,M,23/02/2019,UK 142911 303178,UK 280211 700491,NA,Blue,2020,2020
UK 362735 201944,1944,Cattle,ST,M,21/02/2019,UK 142911 303178,UK 283928 101080,NA,Blue,2020,2020
UK 362735 301945,1945,Cattle,STX,M,21/02/2019,UK 303596 501955,UK 385983 501291,NA,Green,2020,2020
UK 362735 401939,1939,Cattle,STX,F,21/02/2019,UK 303596 501955,UK 342625 101994,NA,Green,2020,2020
UK 362735 701942,1942,Cattle,STX,F,20/02/2019,UK 303596 501955,UK 344903 101937,NA,Blue,2020,2020
UK 362735 601934,1934,Cattle,ST,M,17/02/2019,UK 142911 303178,UK 280211 500461,NA,Green,2020,2020
UK 362735 301931,1931,Cattle,STX,F,16/02/2019,UK 303596 501955,UK 740732 201721,NA,Blue,2020,2020
UK 362735 501933,1933,Cattle,STX,M,16/02/2019,UK 303596 501955,UK 282700 503577,NA,Green,2020,2020
UK 362735 401925,1925,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 340721 201190,NA,Green,2020,2020
UK 362735 701928,1928,Cattle,STX,F,15/02/2019,UK 303596 501955,UK 323621 201773,NA,Blue,2020,2020
UK 362735 301924,1924,Cattle,ST,M,14/02/2019,UK 142911 303178,UK 221217 101196,NA,Green,2020,2020
UK 362735 101922,1922,Cattle,ST,M,11/02/2019,UK 706021 102928,UK 221185 102063,NA,Blue,2020,2020
UK 362735 401918,1918,Cattle,ST,F,09/02/2019,UK 706021 102928,UK 221185 602033,NA,Blue,2020,2020
UK 362735 501919,1919,Cattle,ST,M,09/02/2019,UK 142911 303178,UK 280211 100478,NA,Green,2020,2020
UK 362735 201916,1916,Cattle,ST,F,07/02/2019,UK 706021 102928,UK 221185 601977,NA,Green,2020,2020
UK 362735 201909,1909,Cattle,ST,M,30/01/2019,UK 706021 102928,UK 280211 600504,NA,Green,2020,2020
UK 362735 501905,1905,Cattle,STX,M,20/01/2019,UK 303596 501955,UK 344680 103353,NA,Blue,2020,2020
UK 362735 401904,1904,Cattle,ST,M,13/01/2019,UK 142911 303178,UK 280211 500468,NA,Blue,2020,2020
UK 362735 301896,301896,Cattle,STX,M,13/05/2018,UK 380678 601707,UK 381916 400212,UK 381916 400212,Blue,2019,2019
UK 362735 601892,601892,Cattle,ST,M,01/05/2018,UK 706021 102928,UK 706021 402994,UK 706021 402994,Blue,2019,2019
UK 362735 401890,401890,Cattle,STX,M,30/04/2018,UK 380678 601707,UK 345188 301543,UK 345188 301543,Green,2019,2019
UK 362735 201888,201888,Cattle,STX,M,27/04/2018,UK 380678 601707,UK 282700 203560,UK 282700 203560,Green,2019,2019
UK 362735 101887,101887,Cattle,ST,M,26/04/2018,UK 706021 102928,UK 706021 103075,UK 706021 103075,Blue,2019,2019
UK 362735 701886,701886,Cattle,ST,M,24/04/2018,UK 706021 102928,UK 706021 403050,UK 706021 403050,Green,2019,2019
UK 362735 501884,501884,Cattle,STX,F,21/04/2018,UK 142911 303178,UK 160299 703371,UK 160299 703371,Green,2019,2019
UK 362735 601885,601885,Cattle,STX,F,21/04/2018,UK 380678 601707,UK 280211 300445,UK 280211 300445,Green,2019,2019
UK 362735 201881,201881,Cattle,STX,F,19/04/2018,UK 303596 501955,UK 340627 201352,UK 340627 201352,Green,2019,2019
UK 362735 601878,601878,Cattle,STX,F,17/04/2018,UK 380678 601707,UK 362735 101173,UK 362735 101173,Blue,2019,2019
UK 362735 401876,401876,Cattle,STX,M,15/04/2018,UK 380678 601707,UK 363394 600788,UK 363394 600788,Blue,2019,2019
UK 362735 201874,201874,Cattle,STX,F,11/04/2018,UK 303596 501955,UK 322301 100917,UK 322301 100917,Green,2019,2019
UK 362735 701872,701872,Cattle,ST,M,11/04/2018,UK 380678 601707,UK 283928 601085,UK 283928 601085,Blue,2019,2019
UK 362735 201860,201860,Cattle,STX,M,02/04/2018,UK 303596 501955,UK 740431 100971,UK 740431 100971,Green,2019,2019
UK 362735 301854,301854,Cattle,STX,M,30/03/2018,UK 142911 303178,UK 340627 701350,UK 340627 701350,Blue,2019,2019
UK 362735 501849,501849,Cattle,STX,F,30/03/2018,UK 303596 501955,UK 341304 302203,UK 341304 302203,Blue,2019,2019
UK 362735 101845,101845,Cattle,ST,M,26/03/2018,UK 702625 102905,UK 221217 501179,UK 221217 501179,Green,2019,2019
UK 362735 401841,401841,Cattle,STX,M,26/03/2018,UK 142911 303178,UK 340435 503120,UK 340435 503120,Green,2019,2019
UK 362735 701858,701858,Cattle,STX,M,24/03/2018,UK 142911 303178,UK 283104 705927,UK 283104 705927,Green,2019,2019
UK 362735 401834,401834,Cattle,STX,M,21/03/2018,UK 142911 303178,UK 340944 102797,UK 340944 102797,Green,2019,2019
UK 362735 201832,201832,Cattle,STX,F,20/03/2018,UK 142911 303178,UK 343494 603856,UK 343494 603856,Green,2019,2019
UK 362735 301833,301833,Cattle,STX,M,20/03/2018,UK 142911 303178,UK 361993 201363,UK 361993 201363,Blue,2019,2019
UK 362735 101831,101831,Cattle,STX,F,19/03/2018,UK 142911 303178,UK 340721 601194,UK 340721 601194,Blue,2019,2019
UK 362735 501828,501828,Cattle,STX,M,18/03/2018,UK 303596 501955,UK 344578 601383,UK 344578 601383,Blue,2019,2019
UK 362735 701830,701830,Cattle,ST,M,18/03/2018,UK 706021 102928,UK 706021 403008,UK 706021 403008,Green,2019,2019
UK 362735 101824,101824,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 366687 102308,UK 366687 102308,Green,2019,2019
UK 362735 201825,201825,Cattle,ST,M,17/03/2018,UK 380678 601707,UK 280211 300494,UK 280211 300494,Blue,2019,2019
UK 362735 301826,301826,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 345406 201418,UK 345406 201418,Green,2019,2019
UK 362735 401827,401827,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 345145 501060,UK 345145 501060,Green,2019,2019
UK 362735 501821,501821,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 344853 101116,UK 344853 101116,Blue,2019,2019
UK 362735 601822,601822,Cattle,STX,M,17/03/2018,UK 142911 303178,UK 282700 503577,UK 282700 503577,Blue,2019,2019
UK 362735 201818,201818,Cattle,STX,M,16/03/2018,UK 142911 303178,UK 385983 501291,UK 385983 501291,Blue,2019,2019
UK 362735 601815,601815,Cattle,STX,F,15/03/2018,UK 303596 501955,UK 362735 701123,UK 362735 701123,Green,2019,2019
UK 362735 701816,701816,Cattle,STX,M,15/03/2018,UK 303596 501955,UK 161134 201494,UK 161134 201494,Blue,2019,2019
UK 362735 501814,501814,Cattle,STX,F,14/03/2018,UK 142911 303178,UK 366189 702074,UK 366189 702074,Green,2019,2019
UK 362735 301812,301812,Cattle,ST,M,12/03/2018,UK 702625 102905,UK 221217 601229,UK 221217 601229,Blue,2019,2019
UK 362735 101803,101803,Cattle,STX,M,10/03/2018,UK 303596 501955,UK 740431 600976,UK 740431 600976,Green,2019,2019
UK 362735 501807,501807,Cattle,STX,F,10/03/2018,UK 142911 303178,UK 740431 201014,UK 740431 201014,Blue,2019,2019
UK 362735 601808,601808,Cattle,STX,M,10/03/2018,UK 142911 303178,UK 366189 601716,UK 366189 601716,Blue,2019,2019
UK 362735 201804,201804,Cattle,ST,M,09/03/2018,UK 706021 102928,UK 283928 301180,UK 283928 301180,Green,2019,2019
UK 362735 501800,501800,Cattle,STX,F,08/03/2018,UK 303596 501955,UK 344903 101937,UK 344903 101937,Blue,2019,2019
UK 362735 601801,601801,Cattle,ST,M,08/03/2018,UK 706021 102928,UK 706021 603073,UK 706021 603073,Blue,2019,2019
UK 362735 101796,101796,Cattle,ST,M,06/03/2018,UK 380678 601707,UK 280211 400460,UK 280211 400460,Green,2019,2019
UK 362735 201797,201797,Cattle,STX,F,06/03/2018,UK 142911 303178,UK 363394 400786,UK 363394 400786,Blue,2019,2019
UK 362735 701795,701795,Cattle,STX,F,06/03/2018,UK 303596 501955,UK 341623 501576,UK 341623 501576,Blue,2019,2019
UK 362735 501793,501793,Cattle,ST,M,05/03/2018,UK 380678 601707,UK 283928 101080,UK 283928 101080,Green,2019,2019
UK 362735 101789,101789,Cattle,ST,M,02/03/2018,UK 380678 601707,UK 283928 201116,UK 283928 201116,Green,2019,2019
UK 362735 201783,201783,Cattle,STX,F,28/02/2018,UK 303596 501955,UK 344680 103388,UK 344680 103388,Green,2019,2019
UK 362735 301784,301784,Cattle,ST,M,27/02/2018,UK 142911 303178,UK 362735 301581,UK 362735 301581,Green,2019,2019
UK 362735 701781,701781,Cattle,STX,M,26/02/2018,UK 303596 501955,UK 345188 401397,UK 345188 401397,Blue,2019,2019
UK 362735 501779,501779,Cattle,STX,M,25/02/2018,UK 303596 501955,UK 340721 201190,UK 340721 201190,Green,2019,2019
UK 362735 601780,601780,Cattle,STX,F,25/02/2018,UK 303596 501955,UK 344461 101179,UK 344461 101179,Green,2019,2019
UK 362735 501772,501772,Cattle,ST,M,20/02/2018,UK 380678 601707,UK 280211 100478,UK 280211 100478,Blue,2019,2019
UK 362735 601773,601773,Cattle,ST,M,20/02/2018,UK 380678 601707,UK 280211 100478,UK 280211 100478,Blue,2019,2019
UK 362735 701767,701767,Cattle,STX,F,15/02/2018,UK 303596 501955,UK 343494 503603,UK 343494 503603,Blue,2019,2019
UK 362735 201762,201762,Cattle,ST,M,14/02/2018,UK 142911 303178,UK 362735 301560,UK 362735 301560,Blue,2019,2019
UK 362735 701760,701760,Cattle,ST,M,14/02/2018,UK 142911 303178,UK 283928 701198,UK 283928 701198,Blue,2019,2019
UK 362735 101754,101754,Cattle,STX,F,09/02/2018,UK 303596 501955,UK 366189 401889,UK 366189 401889,Blue,2019,2019
UK 362735 501751,501751,Cattle,ST,M,07/02/2018,UK 142911 303178,UK 283928 701142,UK 283928 701142,Green,2019,2019
UK 362735 701753,701753,Cattle,ST,M,07/02/2018,UK 380678 601707,UK 283928 101052,UK 283928 101052,Green,2019,2019
UK 362735 601745,601745,Cattle,STX,M,04/06/2017,UK 142911 303178,UK 344680 503371,UK 344680 503372,Green,2018,2018
UK 362735 301742,301742,Cattle,CHX,F,29/05/2017,UK 701354 700138,UK 381916 400212,UK 381916 400213,Blue,2018,2018
UK 362735 501716,501716,Cattle,STX,M,02/04/2017,UK 303596 501955,UK 366687 102308,UK 366687 102309,Green,2018,2018
UK 362735 601661,601661,Cattle,ST,F,02/03/2017,UK 380678 601707,UK 280211 500489,UK 280211 500489,Blue,2018,2018
UK 362735 701655,701655,Cattle,CHX,F,27/02/2017,UK 303596 501955,UK 324293 101345,UK 324293 101346,Blue,2018,2018
